MarketName;TimeStamp;Volume;Last;OpenSellOrders;OpenBuyOrders;Bid;Ask;
BTC-DOGE;2018-01-03T11:59:50.157;2262555011.54;0.000000590;15753;4225;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T12:04:53.387;2268113579.54;0.000000600;15734;4221;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T12:09:58.293;2257553437.16;0.000000590;15726;4232;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T12:30:29.103;2251754261.86;0.000000600;15768;4263;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T12:35:27.113;2250854735.22;0.000000600;15777;4272;0.000000590;0.000000600;
BTC-DOGE;2018-01-03T12:40:33.29;2259420607.39;0.000000600;15738;4278;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T12:45:27.47;2256127569.73;0.000000610;15752;4291;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T12:50:31.14;2258150959.46;0.000000600;15754;4299;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T12:55:32.63;2241510136.86;0.000000610;15733;4303;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T13:00:35.823;2244012835.64;0.000000600;15753;4295;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T13:05:38.463;2245344338.57;0.000000610;15772;4305;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T13:10:37.413;2244118281.45;0.000000600;15771;4316;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T13:15:32.643;2244571485.0;0.000000620;15702;4348;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:20:37.963;2235915176.41;0.000000610;15719;4365;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:25:36.45;2234035785.61;0.000000610;15728;4381;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:30:27.183;2233379154.9;0.000000620;15727;4401;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:35:35.31;2236062038.5;0.000000620;15647;4407;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:40:34.023;2237923169.19;0.000000620;15655;4434;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:45:41.183;2234970673.79;0.000000610;15651;4433;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:50:35.013;2228908139.55;0.000000610;15652;4452;0.000000610;0.000000620;
BTC-DOGE;2018-01-03T13:55:35.91;2214239591.33;0.000000600;15687;4377;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T14:00:36.18;2213052627.02;0.000000610;15703;4387;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T14:05:38.22;2185577405.87;0.000000600;15722;4406;0.000000600;0.000000610;
BTC-DOGE;2018-01-03T14:10:39.76;2180464501.04;0.000000610;15754;4411;0.000000600;0.000000610;
